tp_record_share,id_polizza_exp,id_polizza_invio,compagnia_share,agenzia,numero_polizza_cmp,progressivo,tipo_polizza_share,cmp_sostituita_1_share,agenzia_sostituita_1,numero_polizza_sostituita_1,progressivo_sostituita_1,numero_applicazione_lm,libro_matricola,filename,data_elaborazione_file,mandato
22,2024016083898,2024016083898,035,114,2024016083898,0,2,,-,2023010283296,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2023010531679,2023010531679,035,465,2023010531679,0,2,,-,2023010328449,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2012010564210,2012010564210,035,465,2012010564210,0,2,,-,2004010342110,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2013010418080,2013010418080,035,114,2013010418080,0,2,,-,2009010294653,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2015010366713,2015010366713,035,114,2015010366713,0,2,,-,2011010408326,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2016010367983,2016010367983,035,130,2016010367983,0,2,,-,2012010521852,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2015010388730,2015010388730,035,114,2015010388730,0,2,,-,2013010417973,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2021010314040,2021010314040,035,114,2021010314040,0,2,,-,2014010463881,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2016010443600,2016010443600,035,465,2016010443600,0,2,,-,2015010416794,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2017010714158,2017010714158,035,130,2017010714158,0,2,,-,2015010708442,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2017010615375,2017010615375,035,130,2017010615375,0,2,,-,2016010567425,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2019010400064,2019010400064,035,114,2019010400064,0,2,,-,2017010431926,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2020010493247,2020010493247,035,130,2020010493247,0,2,,-,2017010536083,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2023010368009,2023010368009,035,465,2023010368009,0,2,,-,2018010406985,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2019010672839,2019010672839,035,130,2019010672839,0,2,,-,2018010535914,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2019010293502,2019010293502,035,130,2019010293502,0,2,,-,2018010650909,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2023010195593,2023010195593,035,465,2023010195593,0,2,,-,2018010715826,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2021010331718,2021010331718,035,114,2021010331718,0,2,,-,2019010335674,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2022010312131,2022010312131,035,130,2022010312131,0,2,,-,2019010424164,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2023010013234,2023010013234,035,659,2023010013234,0,2,,2020,2020010027012,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2021010057106,2021010057106,035,114,2021010057106,0,2,,-,2020010128092,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2021010026078,2021010026078,035,114,2021010026078,0,2,,-,2020010147912,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2021010312033,2021010312033,035,130,2021010312033,0,2,,-,2020010294710,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2020010597079,2020010597079,035,130,2020010597079,0,2,,-,2020010462294,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2021010550138,2021010550138,035,130,2021010550138,0,2,,-,2020010589541,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2021010351582,2021010351582,035,114,2021010351582,0,2,,-,2021010123553,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2022010263866,2022010263866,035,130,2022010263866,0,2,,-,2021010258018,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2023010330174,2023010330174,035,114,2023010330174,0,2,,-,2021010326902,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2023010348085,2023010348085,035,465,2023010348085,0,2,,-,2021010332866,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2022010315195,2022010315195,035,659,2022010315195,0,2,,-,2021010348507,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2024010050973,2024010050973,035,130,2024010050973,0,2,,-,2022010020709,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2024016049565,2024016049565,035,659,2024016049565,0,2,,-,2022010179543,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2023010320614,2023010320614,035,659,2023010320614,0,2,,-,2022010286773,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2023010366171,2023010366171,035,659,2023010366171,0,2,,-,2022010296888,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2023010360827,2023010360827,035,465,2023010360827,0,2,,-,2022010314862,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2023010331465,2023010331465,035,465,2023010331465,0,2,,-,2022010317697,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2023010410481,2023010410481,035,659,2023010410481,0,2,,-,2022010319124,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2023010419355,2023010419355,035,659,2023010419355,0,2,,-,2022010327978,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
