tp_record_share,id_polizza_exp,id_polizza_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,progressivo,codice_isin,codice_fondo,descrizione_fondo,categoria_fondo,controvalore,numero_quote,valore_nav,data_ultimo_nav,valuta_share,filename,data_elaborazione_file,mandato
24,20013006745,20013006745,035,4,210,20013006745,1,            ,837,,,6408.24,486.505,13.172,2023-11-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005522226,20005522226,035,4,210,20005522226,1,            ,,,,9665.2,975.495,9.908,2020-11-23,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005619292,20005619292,035,4,210,20005619292,1,            ,816,,,4015.92,265.691,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013016689,20013016689,035,4,210,20013016689,2,            ,836,,,793.6,45.926,17.28,2023-11-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005622347,20005622347,035,4,210,20005622347,1,            ,816,,,35195.56,2489.43,14.138,2023-10-03,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005619828,20005619828,035,4,210,20005619828,1,            ,816,,,16105.2,1065.511,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005613206,20005613206,035,4,210,20005613206,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005631478,20005631478,035,4,210,20005631478,2,            ,832,,,4035.42,198.447,20.335,2024-03-11,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013008242,20013008242,035,4,210,20013008242,1,            ,801,,,14383.3,1001.065,14.368,2023-12-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005596897,20005596897,035,4,210,20005596897,1,            ,816,,,9888.35,654.208,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005622488,20005622488,035,4,210,20005622488,1,            ,816,,,46298.23,3063.065,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002510053,20002510053,035,4,210,20002510053,2,            ,150A,,,5816.53,5816.535,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013011431,20013011431,035,4,210,20013011431,1,            ,835,,,46401.06,2611.349,17.769,2023-12-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
